station_id,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,directions,Category,LRS ID,LRS Loc Pt,latitude,longitude,Latest,Latest Date
6735,Otter Tail,-,Other Principal Arterial,R,MN 210,,,WEST OF,"CSAH47, W OF BATTLE LAKE",2-WAY,EB/WB,Two-Way Roadway,0300000000000210-I,42.2459138,46.2670445,-95.791116,2081,11/23/2025
6737,Otter Tail,-,Other Principal Arterial,R,US 10,,,SOUTH OF,495TH ST,2-WAY,EB/WB,Two-Way Roadway,0200000000000010-I,56.176951,46.7061285,-95.6915644,8961,7/4/2025
6743,Chippewa,-,Minor Arterial,R,MN 29,,,SOUTH OF,"120TH ST SE, NE OF MONTEVIDEO",2-WAY,NB/SB,Two-Way Roadway,0300000000000029-I,21.208356,45.1507618,-95.59383785,739,11/23/2025
6744,Redwood,-,Other Principal Arterial,R,MN 19,,,,CSAH2 (SW OF MORTON),2-WAY,EB/WB,Two-Way Roadway,0300000000000019-I,78.3370579,44.5447293,-94.9955679,5647,1/1/2024
6745,Pipestone,-,Minor Arterial,R,US 75,,,SOUTH OF,"CSAH7 (151ST ST), N OF PIPESTONE",2-WAY,NB/SB,Two-Way Roadway,0200000000000075-I,40.8253575,44.0601034,-96.3077035,914,11/23/2025
6746,Lyon,-,Other Principal Arterial,R,US 59,,,SOUTH OF,"CSAH14 (110TH ST), E OF GARVIN",2-WAY,NB/SB,Two-Way Roadway,0200000000000059-I,56.9038224,44.21031115,-95.75482568,2000,1/1/2024
6749,Blue Earth,-,Minor Arterial,R,MN 30,,,EAST OF,MN 22,2-WAY,EB/WB,Two-Way Roadway,0300000000000030-I,148.7509099,43.8988989,-93.8987535,485,10/30/2025
6755,Olmsted,-,Other Principal Arterial,R,US 14,,,EAST OF,"CR104 (60TH AVE NW), W OF ROCHESTER",2-WAY,EB/WB,Two-Way Roadway,0200000000000014-I,206.8199531,44.0272764,-92.5781426,28627,11/11/2025
6757,Saint Louis,-,Other Principal Arterial,R,MN 61,,,SW OF,"CSAH25, SW OF TWO HARBORS",2-WAY,NB/SB,Two-Way Roadway,0300000000000061-I,16.2083413,46.9345939,-91.8198586,8949,1/1/2024
6758,Lake,-,Minor Arterial,R,MN 1,,,,"CSAH7, N OF SILVER BAY",2-WAY,NB/SB,Two-Way Roadway,0300000000000001-I,338.6903114,47.4274063,-91.2631776,278,11/23/2025
